,1,2,3,4
1,10.1,7.1,2.8,1.8
2,6.2,1.5,-1.0,-1.2
3,1.6,-0.5,-1.6,-7.4
4,-4.8,-4.1,-6.8,-10.0
6,11.5,8.2,3.5,2.6
7,7.1,1.9,-0.6,-0.5
8,1.7,-0.1,-0.9,-7.1
9,-4.5,-3.8,-6.5,-9.8
11,18.3,14.9,10.3,9.6
12,13.6,8.4,6.4,6.8
13,8.1,6.6,6.2,0.3
14,2.2,3.5,1.0,-2.1
16,22.7,19.0,14.1,13.5
17,17.3,12.1,9.8,10.4
18,11.5,10.1,9.6,3.6
19,5.2,6.5,4.0,1.0
21,27.8,23.7,18.2,17.4
22,22.1,16.1,13.5,14.0
23,15.6,13.9,13.1,6.8
24,8.8,10.1,7.2,3.9
26,31.2,27.1,21.9,21.3
27,25.5,19.6,17.4,18.1
28,18.7,17.6,17.0,11.0
29,12.4,13.7,11.0,8.0
31,30.0,26.9,23.0,22.7
32,25.1,20.8,19.5,20.5
33,19.7,19.3,19.6,14.0
34,14.7,16.3,14.2,12.0
36,29.1,26.1,22.4,22.1
37,24.7,20.5,19.2,20.2
38,19.4,19.2,19.5,14.2
39,14.9,16.4,14.6,12.1
41,27.6,24.2,19.9,19.3
42,22.5,17.9,16.2,16.9
43,17.1,16.2,16.0,10.9
44,11.9,13.2,11.1,8.7
46,23.8,20.4,16.3,15.6
47,18.5,13.9,11.9,12.4
48,13.0,11.9,11.1,5.9
49,7.0,8.1,5.6,2.7
51,18.0,14.7,10.4,9.6
52,14.0,9.4,7.0,6.9
53,9.6,7.7,6.7,1.2
54,3.6,4.4,1.6,-1.5
56,12.3,9.2,5.3,4.4
57,8.7,4.4,1.9,1.6
58,4.7,2.4,1.1,-3.9
59,-1.3,-0.8,-3.8,-6.9
61,12.0,9.0,4.8,3.9
62,8.1,3.4,0.9,0.8
63,3.5,1.3,0.2,-5.4
64,-2.9,-2.2,-5.4,-8.5
66,13.3,10.1,5.6,4.7
67,8.8,3.6,1.3,1.5
68,3.3,1.6,0.6,-5.6
69,-3.5,-2.5,-5.1,-8.5
71,18.3,14.9,10.5,10.0
72,13.1,8.1,6.2,6.8
73,7.3,5.9,5.3,-0.4
74,1.0,2.4,-0.5,-3.5
76,23.1,19.4,14.7,14.1
77,17.4,12.2,10.1,10.7
78,11.4,10.1,9.4,3.6
79,5.0,6.3,3.7,0.7
81,29.1,25.0,19.3,18.5
82,23.4,17.4,14.8,15.2
83,17.0,15.3,14.5,8.1
84,10.3,11.6,8.6,5.2
86,31.4,27.3,21.8,21.1
87,26.3,20.3,17.9,18.3
88,20.0,18.6,18.3,11.8
89,13.9,15.1,12.5,9.4
91,29.8,26.7,22.7,22.4
92,25.2,20.4,19.4,20.4
