,1,2,3,4
1,78.7,88.0,89.3,85.8
2,76.4,77.9,74.5,68.8
3,63.7,52.6,37.0,39.9
4,41.7,36.9,30.3,25.1
6,56.6,61.6,62.6,60.7
7,52.9,51.6,51.7,46.4
8,43.3,37.4,30.6,28.2
9,33.1,29.6,25.6,22.4
11,50.3,54.9,59.0,55.0
12,56.2,55.9,52.2,47.4
13,52.6,43.1,30.7,28.6
14,36.9,31.0,25.0,21.0
16,41.4,42.4,43.7,36.6
17,57.0,55.0,49.2,42.3
18,68.6,59.3,54.1,43.5
19,60.6,56.6,50.6,43.9
21,52.5,57.4,60.5,53.9
22,65.4,67.9,63.0,53.3
23,67.0,58.6,46.4,41.8
24,59.1,52.0,42.5,35.7
26,49.5,47.0,45.1,43.1
27,54.0,47.8,41.5,40.2
28,63.0,49.0,43.6,34.8
29,60.2,46.9,35.8,28.6
31,303.5,282.3,230.8,220.1
32,278.5,221.9,184.3,176.1
33,230.5,191.8,167.5,112.4
34,119.3,120.0,97.5,73.1
36,129.4,115.3,95.3,91.2
37,93.8,74.2,64.9,61.3
38,65.2,52.2,40.9,31.3
39,34.5,32.1,25.3,18.8
41,53.5,50.8,45.8,45.6
42,49.7,41.6,37.5,37.2
43,48.1,39.2,36.1,26.3
44,36.2,35.5,27.9,21.2
46,6.3,5.6,5.5,4.8
47,7.1,6.4,5.7,4.6
48,9.3,7.0,5.9,4.9
49,8.5,7.3,6.3,5.4
51,0.7,0.3,0.2,0.2
52,0.4,0.0,0.0,0.0
53,0.3,0.0,0.0,0.0
54,0.7,0.2,0.1,0.1
56,5.2,6.6,8.5,9.5
57,3.1,3.8,5.2,6.8
58,2.3,1.6,1.6,2.7
59,2.6,1.6,1.2,1.2
61,2.4,1.2,0.8,1.1
62,1.1,0.2,0.2,0.4
63,2.9,0.3,0.0,0.2
64,9.3,4.9,1.5,0.3
66,11.6,10.6,10.2,10.2
67,12.8,10.7,10.0,9.3
68,15.4,11.6,9.9,8.5
69,17.0,13.4,10.3,8.6
71,57.3,60.8,62.5,55.8
72,77.5,75.6,66.5,59.4
73,91.3,80.0,69.2,54.8
74,75.9,71.8,63.4,55.3
76,54.3,62.0,70.3,64.1
77,69.3,73.1,71.3,67.4
78,78.1,70.9,66.6,58.4
79,69.7,66.5,59.5,51.7
81,49.3,56.7,62.6,58.3
82,64.6,69.7,66.9,61.1
83,71.4,68.2,64.5,55.2
84,61.0,61.7,56.7,50.2
86,88.8,86.0,82.9,78.3
87,98.2,88.2,77.4,73.0
88,102.1,87.7,72.5,60.1
89,70.6,70.1,63.7,53.2
91,181.8,170.1,143.1,141.5
92,162.5,128.8,111.1,109.7
93,138.7,112.2,93.9,67.9
94,81.6,79.8,64.6,48.7
96,157.8,137.0,109.9,102.5
97,131.8,101.3,84.6,79.3
98,103.7,84.6,70.1,50.1
99,55.8,54.8,45.1,33.9
101,75.9,77.8,72.9,73.8
102,63.4,58.1,53.6,53.9
103,48.2,43.2,39.9,29.7
104,24.0,24.5,20.5,16.3
106,16.5,16.9,18.2,16.6
107,20.2,20.6,18.7,15.8
108,25.6,20.8,17.5,14.5
109,22.8,20.1,16.3,13.3
111,14.4,14.6,12.5,10.5
112,21.6,18.0,16.6,14.3
113,30.7,22.3,19.0,17.8
114,44.4,33.7,26.9,21.8
116,1.5,0.6,0.4,0.4
117,0.7,0.1,0.0,0.0
118,2.9,0.3,0.0,0.0
119,10.8,5.6,1.6,0.2
121,63.1,67.7,66.6,62.8
122,76.3,73.7,66.1,61.6
123,88.5,74.7,68.8,58.8
124,76.8,71.7,62.7,53.2
126,21.6,21.5,20.8,20.0
127,31.8,28.4,24.9,23.3
128,43.4,37.6,38.8,27.6
129,44.3,38.6,32.3,27.6
131,64.0,69.9,74.1,67.5
132,72.7,72.3,67.4,61.0
133,75.5,62.4,51.0,44.1
134,67.2,57.2,47.1,40.3
